Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Subject 7,Subject 8,Subject 9,Subject 10,Subject 11,Subject 12,Subject 13,Subject 14,Subject 15,Subject 16
6.0754,7.0824,6.5615,7.27844,7.0125,6.13793,6.50579,6.92853,6.17594,5.77171,6.39461,5.2225,5.36474,5.59677,5.60163,5.80262
5.84535,7.68858,5.50809,6.08145,6.34727,4.84007,6.1378,6.78931,5.66803,5.89809,5.06058,5.01505,5.39239,5.5604,6.52664,5.80465
6.15443,7.34291,5.80333,6.90532,5.90091,6.22411,4.76889,6.96411,5.98629,5.71677,3.39737,4.86887,4.99383,5.6288,5.9747,6.43199
